,e13.csv
0,'Scandinavian_Lifestyle_Santo_Bookcase'
1,'Furniture_of_America_Nara_Contemporary_6-Shelf_Tiered_Open_Bookcase'
2,'Structure_Bocca_3-shelf_Narrow_Bookcase'
3,'WYNDENHALL_Normandy_Ladder_Shelf_Bookcase'
4,"'s_2-shelf_White_Bookcase"", 1.8680302854581408)'"
5,'Series_C_Corsa_5-shelf_Bookcase'
6,"'_Four-tier_Shelf"", 4)'"
7,'Altra_5-Shelf_Resort_Cherry_Bookcase'
8,'Altra_Alton_Alley_Espresso_4-Shelf_Barrister_Bookcase'
9,'Ergocraft_Laguna_4-Shelf_Wood_Veneer_Bookcase'
10,'Everett_Espresso_Slant-back_Shaker_Door_Bookcase'
11,'Classic_Mission_60-inch_Bookcase'
12,'Element_Tall_Narrow_5-shelf_Bookcase'
13,'Structure_Bocca_3-shelf_Wide_Bookcase'
14,'2-shelf_Bookcase'
15,'South_Shore_Step_One_Shelf_Bookcase'
16,'Fantasy_Fields_Knights_and_Dragon_Bookshelf'
17,'Espresso_Bookcase_and_Cabinet'
18,'Homestar_3-Shelf_Filing_Bookshelf'
19,'Inval_Espresso_Bookcase_Hutch'
20,'Altra_Elements_White_Bookcase_by_Cosco'
21,'Montego_5-tier_Bookcase'
22,'Javier_Modern_Zig_Zag_Display_Shelving_(High)'
23,'Altra_5_Shelf_Bookcase'
24,'Ferndale_Espresso_Three-shelf_Bookcase'
25,'Fantasy_Fields_Sunny_Safari_Bookshelf'
26,'Furniture_of_America_Arthurie_Espresso_Enclosed_5-Shelf_Shoe_Cabinet'
27,'Furniture_of_America_Tier_Display_Cabinet_Bookcase'
28,'Structure_Bocca_5-shelf_Narrow_Bookcase'
29,'Home_Office_4-Shelf_Bookcase'
30,'Altra_Blackburn_Storage_Bookcase'
31,'Altra_Inspired_Cherry_Glass_Door_Bookcase'
32,'Bush_Furniture_Birmingham_5-Shelf_Bookcase_in_Antique_Black'
33,'Aero'
34,'Altra_Kaleidoscope_Classic_Storage_Bookcase_by_Cosco'
35,'Altra_5_Shelf_Black_Cherry_Bookcase'
36,'6-shelf_Bookcase'
37,"'s_2-shelf_White_Bookcase"", 18.837531802040317)'"
38,'Structure_Bocca_5-shelf_Wide_Bookcase'
39,'Series_C_5-shelf_Double_Bookcase'
40,'Comfort_Products_Coublo_Collection_Bookcase_'
41,'South_Shore_Chocolate_Axess_5-shelf_Narrow_Bookcase'
42,'Altra_White_Kitchen_Microwave_Cart'
43,'TRIBECCA_HOME_Sadie_Industrial_Rustic_Open_Shelf_Drawers_Media_Console'
44,"'s_2-shelf_White_Bookcase"", 29.601835688920502)'"
45,'TRIBECCA_HOME_Myra_Vintage_Industrial_Modern_Rustic_40-inch_Bookcase'
46,'Kathy_Ireland_Office_by_Bush_Furniture_Volcano_Dusk_Cabinet_Bookcase'
47,'Altra_Transform_Expandable_Bookcase'
48,'Lorell_Four-shelf_Bookcase_for_Ascent_and_Concordia_Series'
49,'Furniture_of_America_Julienne_Modern_Sliding_Door_Wine_Bar_Dining_Server'
50,'Fair_Haven_Wood_Bookcase'
51,'3-shelf_Bookshelf_Cherry'
52,'Carmeno_Espresso_Bookshelf_with_CDDVD_Unit'
53,'Furniture_of_America_Contemporary_Key_Performance_Multi-storage_File_Cabinet'
54,'Structure_Bocca_4-shelf_Narrow_Bookcase'
55,'South_Shore_Pure_Black_Axess_5-shelf_Narrow_Bookcase'
56,'BBF_Collection_66-inch_5-shelf_Narrow_Wooden_Bookcase'
57,'42-inch_Honey_Pine_Bookcase'
58,'Classic_Espresso_48-inch_Bookshelf'
59,'Altra_Black_Forest_Glass_Door_Bookcase'
60,"'s_2-shelf_White_Bookcase"", 461.01538847739812)'"
61,'Bookcase_with_Doors'
62,'4-door_Wood_Storage_Cabinet'
63,'Altra_Elements_Resort_Cherry_Bookcase_by_Cosco'
64,'INSPIRE_Q_Barnstone_Cornice_Double_Shelving_Bookcase'
65,'Classic_Mission_48-inch_Bookcase'
66,'Structure_Bocca_4-shelf_Wide_Bookcase'
67,'Altra_Arron_Lane_Red_Bookcase_with_Sliding_Glass_Doors'
68,'Maxon_3-tier_Shelf_Console_Table'
69,"'s_2-shelf_White_Bookcase"", 6)'"
70,'Altra_Arron_Lane_Soft_Grey_Bookcase_with_Sliding_Glass_Doors'
71,'South_Shore_Pure_White_Axess_5-shelf_Bookcase'
72,'Modern_Espresso_Bookcase'
73,'Somme_Rustic_Metal_Frame_6-tier_Bookshelf_Media_Tower'
74,'The_Orleans'
75,'Altra_Kids_4-shelf_Bookcase'
76,'School_House_Tall_Vertical_Bookcase_White'
